episode,agent_id,behaviour,count,decision_module
1,0,"IF,no berries,high health,high society wellbeing,THEN,move",1,LLMDecisionModule
1,0,"IF,medium berries,high health,high society wellbeing,THEN,move",5,LLMDecisionModule
1,0,"IF,high berries,high health,high society wellbeing,THEN,throw",2,LLMDecisionModule
1,0,"IF,medium berries,high health,high society wellbeing,THEN,eat",2,LLMDecisionModule
1,0,"IF,medium berries,high health,high society wellbeing,THEN,throw",11,LLMDecisionModule
1,0,"IF,medium berries,high health,medium society wellbeing,THEN,throw",5,LLMDecisionModule
1,0,"IF,no berries,high health,medium society wellbeing,THEN,move",14,LLMDecisionModule
1,0,"IF,medium berries,high health,medium society wellbeing,THEN,eat",6,LLMDecisionModule
1,0,"IF,no berries,high health,medium society wellbeing,THEN,wait",2,LLMDecisionModule
1,0,"IF,medium berries,high health,medium society wellbeing,THEN,move",2,LLMDecisionModule
1,1,"IF,no berries,high health,high society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,1,"IF,medium berries,high health,high society wellbeing,THEN,throw",11,RuleBasedDecisionModule
1,1,"IF,medium berries,high health,high society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,1,"IF,high berries,high health,high society wellbeing,THEN,throw",3,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,high society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,1,"IF,high berries,medium health,medium society wellbeing,THEN,throw",2,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",19,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,move",3,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,eat",4,RuleBasedDecisionModule
1,1,"IF,no berries,medium health,medium society wellbeing,THEN,move",4,RuleBasedDecisionModule
1,2,"IF,no berries,high health,high society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,2,"IF,medium berries,high health,high society wellbeing,THEN,throw",10,RuleBasedDecisionModule
1,2,"IF,medium berries,high health,high society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,2,"IF,high berries,high health,high society wellbeing,THEN,throw",4,RuleBasedDecisionModule
1,2,"IF,high berries,medium health,high society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,high society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,2,"IF,high berries,medium health,medium society wellbeing,THEN,throw",5,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",17,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,eat",4,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,2,"IF,no berries,medium health,medium society wellbeing,THEN,move",3,RuleBasedDecisionModule
1,3,"IF,no berries,high health,high society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,3,"IF,medium berries,high health,high society wellbeing,THEN,move",4,RuleBasedDecisionModule
1,3,"IF,medium berries,high health,high society wellbeing,THEN,throw",12,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,high society wellbeing,THEN,throw",3,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,medium society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",18,RuleBasedDecisionModule
1,3,"IF,high berries,medium health,medium society wellbeing,THEN,throw",2,RuleBasedDecisionModule
1,3,"IF,high berries,medium health,medium society wellbeing,THEN,eat",1,RuleBasedDecisionModule
1,3,"IF,no berries,medium health,medium society wellbeing,THEN,move",4,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,medium society wellbeing,THEN,eat",3,RuleBasedDecisionModule
